date,t2m,sp,rh,pwv,tp
2025-05-01 00:00:00,22.25,1006.0,84.55,10.27,0.0
2025-05-01 00:15:00,24.1,1006.0,71.3,9.28,0.0
2025-05-01 00:30:00,26.0,1006.0,62.6,7.55,0.0
2025-05-01 00:45:00,27.5,1006.0,53.25,5.26,0.0
2025-05-01 01:00:00,29.1,1006.1,47.25,4.02,0.0
2025-05-01 01:15:00,30.8,1006.15,39.1,5.02,0.0
2025-05-01 01:30:00,32.15,1006.1,35.05,7.41,0.0
2025-05-01 01:45:00,33.3,1006.2,31.8,12.76,0.0
2025-05-01 02:00:00,33.95,1006.1,27.15,15.41,0.0
2025-05-01 02:15:00,35.0,1006.2,27.3,10.83,0.0
2025-05-01 02:30:00,35.6,1006.2,26.3,1.75,0.0
2025-05-01 02:45:00,35.7,1006.05,25.05,2.38,0.0
2025-05-01 03:00:00,35.8,1005.9,21.8,6.01,0.0
2025-05-01 03:15:00,35.2,1005.7,22.55,4.15,0.0
2025-05-01 03:30:00,34.95,1005.5,18.5,1.58,0.0
2025-05-01 03:45:00,35.2,1005.3,20.0,4.63,0.0
2025-05-01 04:00:00,35.15,1005.2,15.0,7.91,0.0
2025-05-01 04:15:00,35.1,1004.9,12.9,8.84,0.0
2025-05-01 04:30:00,35.3,1004.7,16.65,6.73,0.0
2025-05-01 04:45:00,35.75,1004.4,16.25,8.41,0.0
2025-05-01 05:00:00,35.75,1004.2,14.85,11.03,0.0
2025-05-01 05:15:00,36.0,1004.0,13.2,11.49,0.0
2025-05-01 05:30:00,36.5,1003.7,16.15,12.33,0.0
2025-05-01 05:45:00,36.1,1003.3,13.76,11.91,0.0
2025-05-01 06:00:00,36.1,1003.0,15.55,11.47,0.0
2025-05-01 06:15:00,36.6,1002.8,15.7,11.07,0.0
2025-05-01 06:30:00,36.8,1002.5,17.05,10.13,0.0
2025-05-01 06:45:00,37.45,1002.25,17.0,10.17,0.0
2025-05-01 07:00:00,37.7,1001.95,14.9,8.19,0.0
2025-05-01 07:15:00,38.0,1001.7,15.9,8.36,0.0
2025-05-01 07:30:00,37.1,1001.5,15.95,10.66,0.0
2025-05-01 07:45:00,36.8,1001.4,16.0,14.34,0.0
2025-05-01 08:00:00,37.55,1001.15,15.05,18.28,0.0
2025-05-01 08:15:00,36.2,1001.0,19.3,15.91,0.0
2025-05-01 08:30:00,36.2,1000.8,18.1,13.48,0.0
2025-05-01 08:45:00,35.45,1000.8,18.35,12.46,0.0
2025-05-01 09:00:00,34.49,1000.69,18.29,12.8,0.0
2025-05-01 09:15:00,34.0,1000.7,18.65,13.1,0.0
